patch_id,corner,bivariate_id,n_pixels,area_m2,elevation,inland_position,slope,building_50m,impervious_50m,canopy_height_max,southness,tpi_50m
53,cool-stable,1,12,1200.0,28.256,2558.415,2.8187017,0.0,0.0,25.723,-0.6833296,-0.5653003
54,cool-stable,1,22,2200.0,19.314,2213.5378,3.1975024,0.0,0.0,24.107,-0.32993457,-0.84225965
55,cool-stable,1,164,16400.0,20.4385,2659.53,1.2406381,0.0,0.0,25.654,0.8179032,-0.07210037
56,cool-stable,1,145,14500.0,18.526,2169.3315,2.553972,1.1034483e-05,0.0,27.249,0.42157,-0.33639938
57,cool-stable,1,16,1600.0,19.9905,2364.2432,0.2948047,0.0,0.0,22.694,-0.28978932,-0.0076200487
58,cool-stable,1,65,6500.0,14.764,3000.0,0.8337879,0.011766154,0.058248814,25.59,0.2646692,-0.10048046
59,cool-stable,1,17,1700.0,15.946,3000.0,0.6125544,0.005152941,0.14960058,24.289,-0.6398599,-0.15912
60,cool-stable,1,12,1200.0,26.084,2217.1265,13.082482,0.0034333335,0.017067902,24.064,0.26500404,0.8925001
61,cool-stable,1,120,12000.0,20.9865,2671.919,1.1831541,0.0,0.0,27.668999,-0.43216982,-0.28129986
62,cool-stable,1,53,5300.0,26.645,2514.319,2.4000032,0.0039773583,0.0010319124,24.842,-0.29632753,-0.0071203616
63,cool-stable,1,101,10100.0,16.59,2061.674,0.84374094,0.000114851486,0.0038772766,25.888,0.4764149,-0.06887928
64,cool-stable,1,17,1700.0,22.294,2890.121,3.6035767,0.0,0.0,27.12,0.48005292,-0.54356104
65,cool-stable,1,29,2900.0,20.238,2187.6243,0.8143877,0.0,0.0,22.022,-0.8087704,-0.09572067
66,cool-stable,1,10,1000.0,28.366,2847.753,3.667202,0.0,0.0,27.638,-0.03554238,0.8832203
67,cool-stable,1,349,34900.0,19.526,2718.1245,0.6066399,0.0,0.0,28.895,0.4919252,-0.03948059
68,cool-stable,1,55,5500.0,26.14,2394.264,2.8279512,0.0041018184,0.0,23.276,-0.8998039,-0.12136055
69,cool-stable,1,59,5900.0,19.192,2667.002,0.98366225,0.0,0.0,32.408,-0.22152057,-0.2747605
70,cool-stable,1,85,8500.0,24.59,2207.827,0.88021845,0.0,0.0,24.995,0.009081751,-0.27560058
