corner_id,corner_label,description,pixel_count,area_m2,area_km2,mean_normal_temp_degC,median_normal_temp_degC,mean_heatwave_temp_degC,median_heatwave_temp_degC,mean_amplification_degC,median_amplification_degC
1,Cool-stable,"low heatwave T, low amplification",196962,19696200.0,19.6962,20.413495141601082,20.31999969482422,25.879834502430132,25.799999872843426,5.4663393608290525,5.510000864664715
13,Cool-amplifying,"low heatwave T, high amplification",26756,2675600.0,2.6756,19.884017788289214,19.940000534057617,26.66010327963407,26.71666653951009,6.776085491344854,6.726666768391926
4,Hot-stable,"high heatwave T, low amplification",67194,6719400.0,6.7194,23.633432595833508,23.469999313354492,29.12865707447117,28.996667226155598,5.495224478637663,5.593333562215168
16,Hot-amplifying,"high heatwave T, high amplification",150758,15075800.0,15.0758,22.248716816297218,22.09000015258789,29.340541730651392,29.166666666666668,7.091824914354176,6.9933331807454415
