patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
3386,cool-amplifying,cool amplifying,13,32,3200.0,26.531666,19.744999,24.205,6.6966667,2.128334,3000.0,31.45,1.5049136,0.061779596,-0.84852695,21.823,0.0,318.5905,0.0,0.1773071
3387,cool-amplifying,cool amplifying,13,19,1900.0,26.37,19.67,24.03,6.7466664,2.2833328,3000.0,31.553,3.4466321,-0.22208062,0.9203056,27.117,0.0,126.491104,0.0,0.05756985
3388,cool-amplifying,cool amplifying,13,12,1200.0,26.398335,19.615002,24.045,6.7599993,2.3549995,3000.0,30.416,2.9648433,-0.25322044,0.88275707,27.1095,0.0,81.54234,0.0,0.0
3389,cool-amplifying,cool amplifying,13,14,1400.0,26.671667,19.634998,24.349998,6.9799995,2.2850013,3000.0,29.151001,7.670121,0.09772106,-0.05777607,29.539,0.0,377.2259,0.0,0.006296296
3390,cool-amplifying,cool amplifying,13,27,2700.0,26.6,19.69,24.3,6.8766656,2.2866676,3000.0,28.545,6.5773897,0.00528038,-0.22763889,28.492,0.0,284.60498,0.0,0.0
3391,cool-amplifying,cool amplifying,13,17,1700.0,26.746668,20.0,24.87,6.7033343,1.9366659,3000.0,32.115,0.3972656,0.06156143,-0.77370745,21.034,0.0,283.19604,0.0,1.4524328e-05
3392,cool-amplifying,cool amplifying,13,15,1500.0,26.61,19.86,24.33,6.703333,2.1933334,3000.0,29.904,2.0798373,-0.37631965,-0.6719429,23.03,0.0,40.0,0.0,0.013201646
3393,cool-amplifying,cool amplifying,13,12,1200.0,26.64,19.85,24.395,6.7666664,2.273333,3000.0,30.09,4.8903923,-0.18744011,-0.21518433,25.271313,0.0,50.0,0.0,0.00691358
3394,cool-amplifying,cool amplifying,13,10,1000.0,26.698334,20.04,25.725,6.66,0.96833324,1397.5466,15.1235,8.637182,0.083199844,0.87239087,27.213501,0.0,229.4515,0.0,0.0
3395,cool-amplifying,cool amplifying,13,17,1700.0,26.633333,19.94,24.55,6.7033343,2.0766678,3000.0,34.402,1.829801,-0.2560814,-0.377593,24.266,0.0,40.0,0.0014117648,0.03824982
3396,cool-amplifying,cool amplifying,13,9,900.0,26.803333,19.6,24.44,7.0533338,2.3133342,3000.0,27.254,7.0227585,-0.03584053,-0.0021308933,30.233,0.0,199.24858,0.0,0.0
3397,cool-amplifying,cool amplifying,13,29,2900.0,26.696667,19.83,24.58,6.790001,2.0433338,3000.0,31.147,0.9400314,-0.36839974,0.077119626,22.307,0.0,50.0,0.0,0.2399787
3398,cool-amplifying,cool amplifying,13,10,1000.0,26.893333,20.105,25.86,6.7233324,1.001667,1588.0283,14.671499,8.489664,0.2274797,-0.8147769,28.8135,0.0,238.19093,0.0,0.0
3399,cool-amplifying,cool amplifying,13,19,1900.0,26.393333,19.58,24.1,6.766667,2.2066662,3000.0,31.284,1.6817683,-0.006439209,-0.23588958,22.381,0.0,117.047,0.0,0.0
3400,cool-amplifying,cool amplifying,13,20,2000.0,26.843334,20.11,25.86,6.7216663,1.0066664,992.9846,15.702,8.598155,0.110939726,0.99132496,25.1675,0.0,258.925,0.0,0.0
3401,cool-amplifying,cool amplifying,13,244,24400.0,26.636667,19.67,24.33,6.87,2.2333343,3000.0,35.3245,3.1966264,-0.029100645,-0.08958725,26.09,0.0,198.24213,0.0,0.0005788302
3402,cool-amplifying,cool amplifying,13,13,1300.0,26.81,19.9,24.63,6.8700004,2.1299999,3000.0,31.099,2.4272733,-0.34963936,0.18788576,22.11,0.0,44.72136,0.0,0.18841407
3403,cool-amplifying,cool amplifying,13,12,1200.0,26.773333,20.125,25.73,6.621667,1.043334,1488.0518,16.3345,7.5968695,-0.13322,0.017405447,25.228,0.0,161.24515,0.0,0.0
3404,cool-amplifying,cool amplifying,13,22,2200.0,26.583332,19.8,24.380001,6.7050004,2.165,3000.0,30.0985,2.4679236,-0.3003192,0.9032745,28.0015,0.0,80.31129,0.0,0.054887768
3405,cool-amplifying,cool amplifying,13,81,8100.0,26.513334,19.69,24.26,6.7766666,2.2233326,3000.0,38.209,3.7344952,-0.37655976,-0.9054386,27.737,0.0,76.15773,0.0008197531,0.029169332
3406,cool-amplifying,cool amplifying,13,14,1400.0,26.823334,19.765,24.39,6.99,2.3833337,3000.0,38.0285,8.356804,-0.16797951,-0.82681054,22.543999,0.0,33.83914,0.011628571,0.045414466
3407,cool-amplifying,cool amplifying,13,15,1500.0,26.31,19.47,24.02,6.8433337,2.2533329,3000.0,31.432,0.9021913,-0.24044083,0.75536686,26.504,0.0,167.63054,0.0,0.0
3408,cool-amplifying,cool amplifying,13,64,6400.0,26.64,19.85,24.375,6.748334,2.2516668,3000.0,43.576,8.0184965,-0.74362063,-0.9725327,24.578999,0.0,60.0,5e-05,0.01886574
3409,cool-amplifying,cool amplifying,13,16,1600.0,26.501667,19.78,24.165,6.735,2.3333325,3000.0,31.2485,9.435817,-0.72606057,-0.07315205,27.309,0.0,40.61553,0.00055,0.155625
3410,cool-amplifying,cool amplifying,13,16,1600.0,26.566666,19.695,24.195,6.895,2.4,3000.0,39.3115,6.095954,-0.060540315,0.19078949,28.018002,0.0,91.37465,0.0,0.0
3411,cool-amplifying,cool amplifying,13,30,3000.0,26.573334,19.785,24.335,6.7300005,2.1883335,3000.0,33.982002,7.419857,-0.31991965,0.7961294,25.571499,0.0,57.43903,0.00036,0.0066131684
3412,cool-amplifying,cool amplifying,13,11,1100.0,26.41,19.72,24.01,6.7000003,2.3466663,3000.0,30.296,20.476307,-1.4170403,-0.08455037,23.025,0.0,50.0,0.0,0.1440404
3413,cool-amplifying,cool amplifying,13,77,7700.0,26.506666,19.68,24.22,6.933334,2.2866662,3000.0,37.106,2.2837644,-0.3240399,0.18194285,29.831,0.0,158.11388,0.0,0.0053294855
3414,cool-amplifying,cool amplifying,13,15,1500.0,26.436666,19.83,24.4,6.630001,2.056668,3000.0,24.743,10.502636,-0.27524078,-0.8999041,28.007,0.0,28.284271,0.016453333,0.25284773
3415,cool-amplifying,cool amplifying,13,9,900.0,26.606667,19.86,24.49,6.7499995,2.1499996,3000.0,31.818,2.193741,-0.18444023,-0.16223949,23.331,0.0,31.622776,0.007822222,0.07962963
3416,cool-amplifying,cool amplifying,13,17,1700.0,26.73,20.05,25.0,6.67,1.7166672,3000.0,41.664,4.482108,-0.3928795,-0.8623871,25.208,0.0,117.047,0.0,0.026623093
3417,cool-amplifying,cool amplifying,13,22,2200.0,26.630001,19.9,24.64,6.6733336,1.9766665,3000.0,32.0285,1.5206997,-0.21705899,-0.5044389,23.113499,0.0,30.811388,0.024163635,0.05885522
3418,cool-amplifying,cool amplifying,13,11,1100.0,26.67,19.89,24.36,6.6900005,2.263333,3000.0,58.836,21.295713,-0.035199434,-0.29444826,22.756,0.0,100.0,0.0,0.0027721662
3419,cool-amplifying,cool amplifying,13,10,1000.0,26.425,19.74,24.32,6.71,2.1133332,3000.0,30.643,1.7303057,-0.16877979,-0.17709978,29.193,0.0,30.811388,0.0077999993,0.04019753
3420,cool-amplifying,cool amplifying,13,13,1300.0,26.85,20.19,26.03,6.703333,0.8500004,341.32095,16.933,9.849345,0.052599143,0.4895963,25.216,0.0,134.16408,0.0,0.016049383
3421,cool-amplifying,cool amplifying,13,13,1300.0,26.613333,19.91,24.5,6.72,2.070001,3000.0,30.473,2.8347692,-0.24199936,-0.7020706,28.446,0.0,50.0,0.0,0.0030009497
3422,cool-amplifying,cool amplifying,13,30,3000.0,26.378334,19.605,24.275002,6.765001,2.1550007,3000.0,33.5955,4.107847,-0.59041977,0.4315854,30.9955,0.0,30.0,0.02476,0.087419756
3423,cool-amplifying,cool amplifying,13,27,2700.0,26.463333,19.74,24.23,6.730001,2.2399998,3000.0,30.951,2.513886,-0.40560097,0.22608067,25.287,0.0,31.622776,0.0058074077,0.069158666
3424,cool-amplifying,cool amplifying,13,11,1100.0,26.893333,20.11,25.01,6.7533336,1.8433336,3000.0,44.056,2.6833153,-0.38103896,0.68992066,22.929,0.0,180.27756,0.0,0.002738496
3425,cool-amplifying,cool amplifying,13,96,9600.0,26.48,19.66,24.19,6.798333,2.2199993,3000.0,37.54,2.241119,-0.22110024,-0.8889789,26.987,0.0,41.82873,0.004175,0.071093105
3426,cool-amplifying,cool amplifying,13,62,6200.0,26.531666,19.69,24.36,6.8200006,2.2150002,3000.0,31.6805,6.918716,-0.037239455,0.40513945,25.163,0.0,63.245552,0.0014451613,0.0521585
3427,cool-amplifying,cool amplifying,13,48,4800.0,26.41,19.68,24.15,6.703333,2.268334,3000.0,34.106003,3.9224787,-0.64664125,-0.14481413,28.452,0.0,44.72136,0.015866667,0.10750257
3428,cool-amplifying,cool amplifying,13,135,13500.0,26.633333,19.78,24.5,6.7766666,2.096667,3000.0,34.728,9.192841,-0.044281006,-0.6457137,25.835,0.0,60.0,0.0008237037,0.04260905
3429,cool-amplifying,cool amplifying,13,57,5700.0,26.746666,19.73,24.54,6.903332,2.1200008,3000.0,26.832,8.933762,0.07444092,-0.6844528,25.594,0.0,143.17822,0.0,0.0050400696
3430,cool-amplifying,cool amplifying,13,19,1900.0,26.666666,19.75,24.33,6.893333,2.3533332,3000.0,38.88,5.3064466,-0.24364166,0.3946813,23.121,0.0,22.36068,0.028694736,0.0043469784
3431,cool-amplifying,cool amplifying,13,14,1400.0,26.705,19.91,24.425,6.7666664,2.293333,3000.0,32.5775,14.537733,-0.9471998,0.5447993,22.5005,0.0,60.299892,0.0,0.008500882
3432,cool-amplifying,cool amplifying,13,16,1600.0,26.7,19.82,24.39,6.788333,2.3033338,3000.0,30.223999,2.549923,-0.8786,0.63146114,22.205,0.0,47.36068,0.00285,0.08272377
3433,cool-amplifying,cool amplifying,13,9,900.0,26.71,20.0,24.48,6.673334,2.1799996,3000.0,30.305,10.759367,-1.5864006,0.146467,23.843,0.0,20.0,0.041333333,0.20566529
3434,cool-amplifying,cool amplifying,13,26,2600.0,26.301666,19.575,24.215,6.7183323,2.0749993,3000.0,31.319,3.3057308,-0.12797952,-0.674872,31.9175,0.0,82.42641,0.00059999997,0.0074074073
3435,cool-amplifying,cool amplifying,13,13,1300.0,26.903334,20.18,26.04,6.6933346,0.81333417,1330.9395,14.394,11.885487,0.050279997,-0.8489401,25.612,0.0,243.51591,0.0,0.052867994
3436,cool-amplifying,cool amplifying,13,21,2100.0,26.533335,19.75,24.38,6.7200007,2.1566658,3000.0,31.079,6.823977,-0.8770398,0.9111165,27.138,0.0,40.0,0.0015619048,0.07536743
3437,cool-amplifying,cool amplifying,13,72,7200.0,26.475,19.61,24.32,6.8516665,2.1816664,3000.0,31.0595,3.1442144,-0.2170594,0.78960323,31.539501,0.0,103.19173,0.0,0.00035836766
3438,cool-amplifying,cool amplifying,13,27,2700.0,26.363333,19.73,24.18,6.7200007,2.0999997,3000.0,32.277,1.7257282,-0.2288388,0.6799717,27.703,0.0,20.0,0.028177777,0.0
3439,cool-amplifying,cool amplifying,13,11,1100.0,26.67,19.97,25.97,6.74,0.7266674,148.66069,3.407,8.413311,0.22303997,0.97146064,30.106,0.0,235.37204,0.0,0.002413019
