variable,label,patch_summary,median_cool_stable,median_cool_amplifying
elevation,Elevation (DTM),median,11.245000839233398,31.128999710083008
inland_position,Inland position (distance to ocean),median,469.307373046875,3000.0
slope,Slope,median,3.47965145111084,6.456601619720459
building_50m,Building fraction 50 m,mean_fraction,0.005886400118470192,0.0
impervious_50m,Impervious fraction 50 m,mean_fraction,0.07837250828742981,0.0
canopy_height_max,Canopy height max,median,24.14324951171875,27.123001098632812
southness,Southness,median,0.11571089923381805,0.07321254909038544
tpi_50m,TPI 50 m,median,-0.08340978622436523,-0.2234099805355072
