variable,label,filename,patch_summary,n_cool_stable,n_cool_amplifying,median_cool_stable,median_cool_amplifying,raw_difference_amplifying_minus_stable,standardized_median_difference,ci_low,ci_high,higher_in,scale
elevation,Elevation (DTM),DTM_10m_Helsinki.tif,median,3142,454,11.24500036239624,31.128999710083008,19.883999347686768,1.710437907633187,1.6330245279162032,1.791714535947065,cool-amplifying,11.625092766565954
inland_position,Inland position (distance to ocean),OCEAN_DIST_10m_Helsinki.tif,median,3142,454,469.307373046875,3000.0,2530.692626953125,1.7142407637925272,1.6029283153586509,1.823515938217521,cool-amplifying,1476.2760753362952
slope,Slope,SLOPE_10m_Helsinki.tif,median,3142,454,3.47965145111084,6.456601619720459,2.976950168609619,0.8521971122848377,0.51385736903919,1.1107932729887073,cool-amplifying,3.493264792493929
building_50m,Building fraction 50 m,BLDG_FRAC_MEAN_50m.tif,mean_fraction,3142,454,0.005886399885639548,0.0,-0.005886399885639548,-0.2768216572519657,-0.3121470105985569,-0.2411820811079741,cool-stable,0.021264231794847217
impervious_50m,Impervious fraction 50 m,IMPERV_FRAC_50m_Helsinki.tif,mean_fraction,3142,454,0.07837251201272011,0.0,-0.07837251201272011,-0.5113938793453333,-0.5402047415302128,-0.4645030419473659,cool-stable,0.15325273762182992
canopy_height_max,Canopy height max,CHM_10m_MAX.tif,median,3130,454,24.143250465393066,27.123000144958496,2.9797496795654297,0.849692469817614,0.694791672993502,0.9963012139639685,cool-amplifying,3.506856639797021
southness,Southness,SOUTHNESS_10m_Helsinki.tif,median,3142,454,0.11571089923381805,0.07321254536509514,-0.042498353868722916,-0.04636621861164496,-0.18570004428010525,0.08045034650768179,cool-stable,0.9165801124452573
tpi_50m,TPI 50 m,TPI_50m_10m_Helsinki.tif,median,3142,454,-0.08340978622436523,-0.2234099730849266,-0.14000018686056137,-0.5489236712524312,-0.6418705696774075,-0.45376756262244405,cool-stable,0.2550449073204206
