class,n_patches,total_area_m2,median_patch_area_m2,median_connectivity_change_percent,mean_connectivity_change_percent,median_heatwave_temp_degC,median_p90_temp_degC,median_mean_temp_degC,median_hw_minus_p90_degC,median_p90_minus_mean_degC
Trees 2–10 m,3357,8456000.0,1400.0,9.434993743896484,14.077520649248218,27.380001068115234,26.75,21.149999618530273,0.5733324885368347,5.579998970031738
Trees 10–15 m,1684,4319900.0,1400.0,10.158573150634766,15.25039288242885,26.959999084472656,26.280000686645508,20.889999389648438,0.6599991917610168,5.369998931884766
Trees >15 m,3167,23290400.0,1900.0,9.827393531799316,15.801541660589153,26.106666564941406,25.350000381469727,20.31999969482422,0.744999885559082,4.989999771118164
Fields,112,7698400.0,22600.0,7.345337390899658,9.816874264817653,28.8799991607666,28.369998931884766,22.96500015258789,0.3566672205924988,5.414999961853027
Other vegetation,6132,24195100.0,1500.0,10.15038776397705,10.05238799659433,28.3125,27.780000686645508,22.049999237060547,0.4299991726875305,5.700000762939453
