class,n_patches,median_residual_cooling_loss_degC,mean_residual_cooling_loss_degC,p25_residual_cooling_loss_degC,p75_residual_cooling_loss_degC,share_positive_residual,median_observed_p90_offset_degC,median_expected_p90_offset_degC,median_connectivity_change_percent,total_area_m2
Trees 2–10 m,3357,-0.17620229426830147,0.06955681762034285,-0.3031008275620626,0.3215327702368582,0.3571641346440274,0.5733324885368347,0.7314517947179461,9.434993743896484,8456000.0
Trees 10–15 m,1684,-0.1016563125302355,0.11070680963621288,-0.27370132610761944,0.42773587491842796,0.42042755344418054,0.6599991917610168,0.7561399218959522,10.158573150634766,4319900.0
Trees >15 m,3167,-0.057618812251919116,0.11309839574866827,-0.19198209137922967,0.3403600665702164,0.4325860435743606,0.744999885559082,0.8061674084399924,9.827393531799316,23290400.0
Fields,112,-0.24198703621551182,-0.16830740153659754,-0.33748919766748564,-0.0526790165647808,0.19642857142857142,0.3566672205924988,0.6188432970770121,7.345337390899658,7698400.0
Other vegetation,6132,-0.24398724761346424,-0.12382007412634619,-0.3607145922299223,0.029262891444590294,0.27071102413568165,0.4299991726875305,0.6743368682191744,10.15038776397705,24195100.0
