control,transform,center,scale,scale_method
centroid_x,identity,25502660.701754387,11620.601325754076,IQR
centroid_y,identity,6678188.636363637,6195.9443277306855,IQR
inland_position,log1p,6.445541152496706,2.7118991641106227,IQR
elevation,identity,12.777999877929688,15.682250142097473,IQR
slope,identity,3.645591616630554,4.71241420507431,IQR
