patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,centroid_x,centroid_y,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
25,cool-stable,cool stable,1,164,16400.0,25512711.341463413,6685559.451219512,25.508333,19.955,24.785,5.5449996,0.73166656,2555.794,24.2215,3.5462508,-0.007860375,0.52975863,23.6015,0.0,270.18512,0.0,0.0
26,cool-stable,cool stable,1,19,1900.0,25513089.736842107,6685676.578947368,25.526667,20.12,24.87,5.4533334,0.6566658,2706.8064,24.473,3.460394,-0.7615194,-0.725179,25.099,0.0,60.0,0.0,0.005341131
27,cool-stable,cool stable,1,24,2400.0,25513586.25,6685664.583333333,26.398335,20.69,25.82,5.6783323,0.6149998,2808.3625,20.011,1.9947603,-0.4217,-0.09991044,21.388,0.0,50.0,0.00059999997,0.0035185188
28,cool-stable,cool stable,1,12,1200.0,25513413.333333332,6685634.166666667,25.718334,20.195,25.185,5.543333,0.6083336,2732.2678,19.93,4.8482313,-0.33476013,0.21556892,23.5415,0.0,41.82873,0.0,0.006090535
29,cool-stable,cool stable,1,21,2100.0,25510686.42857143,6685612.619047619,25.59,19.97,24.79,5.633333,0.79666585,3000.0,25.085,4.638679,-0.22119911,0.9639991,26.942,0.0,241.86774,0.0,0.0014050559
30,cool-stable,cool stable,1,27,2700.0,25513650.925925925,6685595.37037037,25.443333,19.88,24.67,5.5533333,0.7433338,2761.322,19.875,0.7812056,-0.2606391,0.048219707,22.224,0.0,80.622574,0.0,0.0
31,cool-stable,cool stable,1,104,10400.0,25511189.519230768,6685505.865384615,25.43,19.92,24.66,5.5149994,0.7000001,2826.2607,23.3615,2.104081,-0.45030022,0.5338135,26.865501,0.0,50.0,0.0019653847,0.009201093
32,cool-stable,cool stable,1,11,1100.0,25512113.181818184,6685600.454545454,25.61,19.87,24.94,5.710001,0.596667,2675.2383,19.774,3.670053,0.08484024,-0.7978089,24.802,0.0,767.91925,0.0,0.0
33,cool-stable,cool stable,1,12,1200.0,25510758.333333332,6685588.333333333,25.533333,19.82,24.675,5.67,0.8250011,3000.0,27.017,3.6612222,0.46797943,0.895392,27.506,0.0,170.14694,0.0,0.0
34,cool-stable,cool stable,1,921,92100.0,25512691.15635179,6685435.152008686,25.266666,19.89,24.56,5.403334,0.6933327,2449.898,18.236,0.9926157,-0.06035988,0.42465147,25.379,0.0,264.1969,0.0004290988,0.0006018686
35,cool-stable,cool stable,1,415,41500.0,25513228.759036146,6685386.373493976,25.403334,19.88,24.74,5.4999986,0.63666725,2441.8232,19.86,3.5712857,-0.103640825,-0.073514424,27.262,0.0,100.0,3.3734937e-05,0.00043254497
36,cool-stable,cool stable,1,11,1100.0,25513424.09090909,6685565.909090909,25.893333,20.19,25.33,5.6933327,0.47666678,2668.108,22.184,7.683995,0.058120042,-0.37004083,23.528,0.0,44.72136,0.0023999999,0.003973064
37,cool-stable,cool stable,1,50,5000.0,25513616.8,6685509.8,25.581665,20.01,24.84,5.545,0.66000044,2666.2144,20.7815,4.2697144,-0.3686607,-0.23267108,25.117,0.0,96.4142,0.0,0.0006197531
38,cool-stable,cool stable,1,17,1700.0,25510786.17647059,6685526.176470588,25.526667,19.96,24.77,5.5966663,0.7466666,2937.3628,24.023,2.560948,-0.31503946,0.7155788,24.879,0.0,117.047,0.0,0.0021931734
39,cool-stable,cool stable,1,12,1200.0,25512957.5,6685521.666666667,25.453335,19.92,24.845001,5.501667,0.60500014,2539.9902,26.2745,4.124137,0.39232036,-0.14862013,23.865,0.0,115.31829,0.0,0.0
40,cool-stable,cool stable,1,13,1300.0,25511000.384615384,6685504.230769231,25.946667,20.29,25.26,5.676666,0.6766656,2876.404,28.499,2.2723823,-0.413159,0.92595476,26.588,0.0,22.36068,0.006338462,0.005925926
41,cool-stable,cool stable,1,27,2700.0,25512909.074074075,6685493.148148148,25.616667,19.96,24.81,5.6733336,0.8233331,2505.1147,27.251,4.1280956,0.07975952,0.8527309,23.569,0.0,155.56349,0.0,0.0
42,cool-stable,cool stable,1,11,1100.0,25513504.09090909,6685502.2727272725,26.636667,20.9,25.89,5.726667,0.7066663,2625.4521,26.263,8.705785,-0.3896409,-0.08500892,17.472,0.0,85.44003,0.0,0.0
43,cool-stable,cool stable,1,203,20300.0,25510763.078817733,6685357.413793104,25.37,19.85,24.59,5.4566655,0.736667,2752.1812,21.159,0.96537066,-0.07699936,0.5870181,24.478,0.0,104.40307,0.0,0.012383385
44,cool-stable,cool stable,1,15,1500.0,25511585.666666668,6685444.333333333,25.596666,20.01,24.71,5.7299995,0.92333347,2697.8696,28.524,0.5541491,-0.8294405,0.14764306,25.179,0.0,324.49963,0.0,0.0
45,cool-stable,cool stable,1,320,32000.0,25511137.125,6685081.75,25.693333,20.08,24.84,5.581666,0.81833327,2411.4517,26.0895,2.5547714,-0.11258045,-0.050846405,24.193,0.003125,177.05927,1.875e-05,0.012946759
46,cool-stable,cool stable,1,267,26700.0,25499792.67790262,6685266.3857677905,24.983334,19.44,23.42,5.516666,1.5366656,3000.0,15.05,0.796114,0.0012804413,-0.6677325,26.748,0.0,84.85281,4.94382e-05,0.030680167
47,cool-stable,cool stable,1,49,4900.0,25510486.224489797,6685316.8367346935,25.613333,19.98,24.83,5.6133347,0.74333316,2794.0115,22.692,3.8826342,-0.03300064,0.40924627,25.682,0.0,94.868324,0.0,0.0
48,cool-stable,cool stable,1,9,900.0,25502008.333333332,6685298.333333333,25.593334,20.0,24.08,5.67,1.5566673,3000.0,17.14,2.8263505,0.32739928,0.114831656,25.139,0.0,14.142136,0.080577776,0.12230452
49,cool-stable,cool stable,1,9,900.0,25511621.666666668,6685308.333333333,25.953333,20.21,25.01,5.7000003,0.9033324,2555.3865,28.656,2.9778428,-0.29547966,-0.26875898,23.619,0.0,422.96573,0.0,0.0
50,cool-stable,cool stable,1,63,6300.0,25512929.603174604,6685203.253968254,25.826666,20.1,25.35,5.7333336,0.5433324,2219.955,23.464,8.584109,0.07764091,-0.30818483,26.222,0.0,41.231056,0.0024825395,0.009768764
51,cool-stable,cool stable,1,54,5400.0,25513374.259259257,6685230.0,25.461666,19.835,24.75,5.650001,0.7283329,2328.1108,26.272,2.9897754,-0.014660149,0.10918406,30.737,0.0,274.13318,0.0,0.0
52,cool-stable,cool stable,1,114,11400.0,25511670.789473683,6685160.263157895,25.816666,20.215,24.98,5.6399994,0.8283329,2393.0525,25.226,2.5659554,-0.2524408,0.10348064,24.1325,0.0,519.27814,0.0,0.0
53,cool-stable,cool stable,1,12,1200.0,25511150.0,6685221.666666667,25.689999,19.92,24.83,5.743334,0.84166586,2558.415,28.256,2.8187017,-0.5653003,-0.6833296,25.723,0.0,128.24554,0.0,0.0
