corner_id,corner,corner_label,description,temp_bin,amplification_bin,pixel_count,total_area_m2,total_area_km2,dominant_lulc,dominant_lulc_label,dominant_lulc_percent,median_heatwave_temp_degC,mean_heatwave_temp_degC,median_mean_baseline_temp_degC,mean_mean_baseline_temp_degC,median_hw_minus_mean_degC,mean_hw_minus_mean_degC,median_p90_baseline_temp_degC,mean_p90_baseline_temp_degC,median_hw_minus_p90_degC,mean_hw_minus_p90_degC,median_heatwave_rank,median_amplification_rank,n_patches,median_patch_area_m2,largest_patch_area_m2,patches_per_km2,pct_Trees_2-10_m,pct_Trees_10-15_m,pct_Trees_gt15_m,pct_Fields,pct_Other_vegetation
1,cool-stable,Cool-stable,"low heatwave T, low ΔT to mean",low,low,196962,19696200.0,19.6962,Trees >15 m,Trees >15 m,59.938465287720476,25.799999872843426,25.879834502430132,20.31999969482422,20.413495141601082,5.510000864664715,5.4663393608290525,25.18000030517578,25.238750010883475,0.5900001525878906,0.6410844915466601,0.07540243233652698,0.11103035581792961,28305,100.0,228500.0,1437.079233557742,13.032970826860003,13.183761334673694,59.938465287720476,0.0,4.990810410129873
13,cool-amplifying,Cool-amplifying,"low heatwave T, high ΔT to mean",low,high,26756,2675600.0,2.6756,Trees >15 m,Trees >15 m,80.1689340708626,26.71666653951009,26.66010327963407,19.940000534057617,19.884017788289214,6.726666768391926,6.776085491344854,25.059999465942383,25.021074149333803,1.6500002543131522,1.6390291303002664,0.18940804542082001,0.8376628278331559,5730,100.0,268300.0,2141.5757213335323,10.917177455523994,8.058005680968755,80.1689340708626,0.0,0.6577963821198983
4,hot-stable,Hot-stable,"high heatwave T, low ΔT to mean",high,low,67194,6719400.0,6.7194,Other vegetation,Other veg.,48.29449057951603,28.996667226155598,29.12865707447117,23.469999313354492,23.633432595833508,5.593333562215168,5.495224478637663,28.709999084472656,28.796261273377933,0.28333346048991004,0.33239580109323535,0.8496745056292139,0.14255395335333398,18796,100.0,324500.0,2797.2735660922103,1.1950471768312647,0.148822811560556,0.0297645623121112,28.79274935262077,48.29449057951603
16,hot-amplifying,Hot-amplifying,"high heatwave T, high ΔT to mean",high,high,150758,15075800.0,15.0758,Other vegetation,Other veg.,40.33417795407209,29.166666666666668,29.340541730651392,22.09000015258789,22.248716816297218,6.9933331807454415,7.091824914354176,28.420000076293945,28.484442748907547,0.8033332824707031,0.8560989817438476,0.8797696699893545,0.9229204167876384,35075,100.0,223400.0,2326.5763674232876,17.941999761206702,4.8581169821833665,3.449236524761538,7.526632085859457,40.33417795407209
