patch_id,corner_id,corner_label,n_pixels,area_m2,mean_r_thw,mean_r_offset,dominant_lulc,dominant_lulc_label,dominant_lulc_percent
6458,16,Hot-amplifying,16,1600.0,0.885982592180393,0.9050012298783832,Other vegetation,Other veg.,18.75
6459,16,Hot-amplifying,23,2300.0,0.8902143407150578,0.9427546891414451,Trees 2–10 m,Trees 2–10 m,30.434782608695652
6460,16,Hot-amplifying,30,3000.0,0.8828971579728377,0.877007086250094,Other vegetation,Other veg.,36.666666666666664
6461,16,Hot-amplifying,20,2000.0,0.8490702925900836,0.8879215781154232,Other vegetation,Other veg.,30.0
6462,16,Hot-amplifying,17,1700.0,0.8660145962962752,0.943926027974337,Trees 2–10 m,Trees 2–10 m,41.1764705882353
6463,16,Hot-amplifying,11,1100.0,0.8073722026223721,0.8855742267345869,Trees 2–10 m,Trees 2–10 m,18.181818181818183
6464,16,Hot-amplifying,9,900.0,0.8680638801968522,0.8529953654418959,Other vegetation,Other veg.,55.55555555555556
6465,16,Hot-amplifying,9,900.0,0.8666415045646634,0.8692305844991416,Other vegetation,Other veg.,33.333333333333336
6466,16,Hot-amplifying,10,1000.0,0.8315329849349979,0.8995022420078067,Other vegetation,Other veg.,40.0
6467,16,Hot-amplifying,10,1000.0,0.8591918448982225,0.9086369882899449,Other vegetation,Other veg.,80.0
6468,16,Hot-amplifying,11,1100.0,0.9340648525318997,0.8449352031883725,Other vegetation,Other veg.,90.9090909090909
6469,16,Hot-amplifying,13,1300.0,0.8736127468131727,0.9018793906503189,Other vegetation,Other veg.,46.15384615384615
6470,16,Hot-amplifying,23,2300.0,0.845372894216784,0.905593504418796,Other vegetation,Other veg.,21.73913043478261
6471,16,Hot-amplifying,10,1000.0,0.9603873028162198,0.8289190619052228,Other vegetation,Other veg.,60.0
