class,n_patches,total_area_m2,median_patch_area_m2,median_connectivity_loss_percent,mean_connectivity_loss_percent,median_heatwave_temp_degC,median_p90_offset_degC,area_weighted_p90_offset_degC
Trees 2–10 m,3357,8456000.0,1400.0,9.434993743896484,14.077520649248218,27.380001068115234,0.5733324885368347,0.8191773874540668
Trees 10–15 m,1684,4319900.0,1400.0,10.158573150634766,15.25039288242885,26.959999084472656,0.6599991917610168,0.8673239342554259
Trees >15 m,3167,23290400.0,1900.0,9.827393531799316,15.801541660589153,26.106666564941406,0.744999885559082,1.0190390319899438
Fields,112,7698400.0,22600.0,7.345337390899658,9.816874264817653,28.8799991607666,0.3566672205924988,0.5611554451918191
Other vegetation,6132,24195100.0,1500.0,10.15038776397705,10.05238799659433,28.3125,0.4299991726875305,0.5089815865952708
