class,patch_id,n_pixels,connectivity_change_mean_percent,connectivity_change_median_percent,connectivity_change_p25_percent,connectivity_change_p75_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_temp_mean_degC,p90_temp_median_degC,mean_temp_mean_degC,mean_temp_median_degC,hw_minus_p90_mean_degC,hw_minus_p90_median_degC,p90_minus_mean_mean_degC,p90_minus_mean_median_degC,area_m2
Trees 2–10 m,293,25,44.362793,44.242702,44.000572204589844,44.697811126708984,27.697065,27.33,26.555998,26.21,20.632801,20.39,1.1410668,1.1566664,5.9231997,5.92,2500.0
Trees 2–10 m,311,11,44.067703,44.15727,43.545209884643555,44.44188117980957,29.452728,29.553333,28.17091,28.34,21.82091,21.69,1.2818183,1.3400002,6.35,6.3199997,1100.0
Trees 2–10 m,313,20,37.56812,37.592617,37.16152000427246,38.038968086242676,29.267166,29.158333,28.1645,28.01,22.064999,21.625,1.1026666,1.1133327,6.0994997,6.284999,2000.0
Trees 2–10 m,327,15,43.621872,43.45607,43.31669998168945,43.86838722229004,28.118666,28.2,26.905333,26.71,20.902668,20.8,1.2133334,1.2133337,6.002667,6.0200005,1500.0
Trees 2–10 m,343,18,38.253376,38.214207,37.9275016784668,38.799560546875,29.300741,29.27,28.11389,28.205,22.210556,21.765,1.1868516,1.193333,5.9033337,6.0199995,1800.0
Trees 2–10 m,348,13,43.75309,43.759293,43.689632415771484,43.81928253173828,29.572563,29.37,28.374615,28.31,22.13923,22.03,1.1979487,1.0999998,6.2353845,6.4699993,1300.0
Trees 2–10 m,362,39,38.678715,38.4947,36.881134033203125,40.5677490234375,27.388546,27.28,26.511793,26.42,20.699486,20.6,0.87675214,0.9100005,5.812308,5.74,3900.0
Trees 2–10 m,373,12,41.48745,41.667374,41.11021327972412,41.94850254058838,28.17,27.744999,25.9375,25.54,21.135834,20.825,2.2325003,2.211667,4.8016663,4.715,1200.0
Trees 2–10 m,375,19,42.875725,42.87451,42.52459144592285,43.27132987976074,26.946842,26.736666,25.781052,25.71,20.084736,20.09,1.1657896,1.1466662,5.696316,5.6100006,1900.0
Trees 2–10 m,384,11,40.237576,40.010063,39.87985801696777,40.75266647338867,28.298485,27.94,26.312727,25.89,21.418182,21.24,1.9857578,2.0100002,4.894545,4.92,1100.0
Trees 2–10 m,425,9,39.469055,39.541485,39.4025764465332,39.586761474609375,28.376667,28.63,27.09,27.32,21.237778,21.52,1.2866665,1.3100001,5.852222,5.799999,900.0
Trees 2–10 m,428,37,46.98752,46.96058,46.44435119628906,47.68690490722656,28.896488,28.833334,27.555405,27.48,21.563784,21.4,1.341081,1.3399996,5.9916215,5.9799995,3700.0
Trees 2–10 m,438,10,13.658068,12.90159,11.336526155471802,16.02491784095764,27.060333,27.241665,26.526001,26.665,20.894001,21.07,0.5343334,0.45500025,5.632,5.5150003,1000.0
Trees 2–10 m,439,221,12.198017,12.296737,11.833128929138184,12.676986694335938,28.227873,28.136667,27.514162,27.52,21.382988,21.38,0.71371037,0.6533343,6.1311765,6.1800003,22100.0
Trees 2–10 m,443,10,43.630222,43.636826,43.17738723754883,43.94840335845947,28.883335,28.871666,27.65,27.564999,21.433,21.215,1.2333338,1.2283342,6.217,6.3199997,1000.0
Trees 2–10 m,463,34,42.84775,44.286797,41.93318748474121,45.15971374511719,29.34,29.168333,28.030293,27.915,21.818823,21.665,1.309706,1.306666,6.2114706,6.2249994,3400.0
Trees 2–10 m,468,9,29.520638,29.32257,29.200624465942383,29.856674194335938,28.271852,28.553333,27.182222,27.43,21.237778,21.29,1.0896295,1.11,5.9444447,6.08,900.0
Trees 2–10 m,475,30,33.521282,33.574116,33.03501224517822,34.05159091949463,29.105333,29.218334,27.982,28.17,21.781668,21.705,1.1233333,1.136666,6.200333,6.3550005,3000.0
Trees 2–10 m,478,11,22.665575,22.692343,22.41462993621826,22.888174057006836,27.541515,26.716667,26.996363,26.07,21.311817,20.7,0.5451516,0.5300007,5.6845455,5.51,1100.0
Trees 2–10 m,496,29,42.6,42.530754,42.405738830566406,42.67207717895508,28.452068,28.5,27.147585,27.17,20.994139,21.07,1.3044828,1.2966677,6.153448,6.1499996,2900.0
Trees 2–10 m,499,28,31.663229,31.669659,31.275178909301758,32.08454990386963,29.022858,28.888332,27.923214,27.78,21.837143,21.58,1.099643,1.1449995,6.0860715,6.13,2800.0
Trees 2–10 m,528,16,18.375162,18.348694,17.45984697341919,19.10613250732422,26.933125,26.718334,26.453125,26.119999,20.7125,20.564999,0.4799999,0.53000003,5.740625,5.5550003,1600.0
Trees 2–10 m,530,29,41.11703,41.307076,40.806941986083984,41.717193603515625,28.84839,29.363333,27.76138,28.04,21.476551,21.74,1.0870115,1.0700003,6.2848277,6.1800003,2900.0
Trees 2–10 m,539,11,12.513966,12.326472,11.994860649108887,13.215426445007324,28.68788,28.723333,27.589092,27.59,21.317274,21.21,1.0987878,1.1333326,6.271818,6.34,1100.0
Trees 2–10 m,543,12,44.821194,44.93582,44.47821521759033,44.994208335876465,27.78861,27.695,26.774168,26.715,21.416666,21.615,1.0144444,0.9049991,5.3575,5.330001,1200.0
Trees 2–10 m,545,45,38.727478,38.397514,37.52729797363281,39.09798049926758,29.16274,28.996666,28.014223,27.93,21.698,21.65,1.1485187,1.1566677,6.3162227,6.3199997,4500.0
Trees 2–10 m,554,51,44.493275,44.31271,44.09268379211426,44.81738471984863,29.249868,29.04,27.970982,27.77,21.731764,21.54,1.2788888,1.246666,6.239216,6.25,5100.0
Trees 2–10 m,572,15,41.959587,41.84354,41.465688705444336,42.40279579162598,28.770445,28.656666,27.49,27.57,21.163334,21.21,1.2804445,1.253334,6.326667,6.279999,1500.0
Trees 2–10 m,575,16,38.158184,38.184658,37.79396057128906,38.5377311706543,27.345,27.095001,26.569376,26.29,21.043125,20.974998,0.77562475,0.72999924,5.52625,5.33,1600.0
Trees 2–10 m,576,34,36.22334,36.239983,35.92136764526367,36.497663497924805,27.611374,27.693333,26.99294,27.325,21.122059,21.325,0.6184312,0.58999956,5.8708825,5.95,3400.0
Trees 2–10 m,626,25,36.668446,36.635086,35.78555679321289,37.77581787109375,26.905333,26.886667,26.231201,26.16,20.4916,20.29,0.67413324,0.7733326,5.7395997,5.7700005,2500.0
Trees 2–10 m,640,12,42.006336,42.029915,41.745361328125,42.22444152832031,28.531944,28.625,27.389166,27.42,21.301666,21.295,1.142778,1.1516663,6.0874996,6.0999994,1200.0
Trees 2–10 m,703,9,31.344078,31.058878,30.885732650756836,31.476530075073242,27.453333,27.369999,25.55,25.33,21.033333,20.86,1.9033331,1.9566675,4.516667,4.5200005,900.0
Trees 2–10 m,707,28,40.32266,40.13825,39.92558288574219,40.42255115509033,29.240952,29.086666,28.033215,27.885,21.6875,21.625,1.2077379,1.2066662,6.3457146,6.3450003,2800.0
Trees 2–10 m,715,13,13.105315,13.199363,12.637752532958984,13.526442527770996,29.31436,29.33,28.325386,28.39,22.273075,22.12,0.9889743,1.0199999,6.052308,6.0600014,1300.0
Trees 2–10 m,725,14,38.74652,38.936646,37.883623123168945,40.11886787414551,28.492382,28.793335,27.395,27.61,21.355715,21.435,1.0973811,1.1450002,6.039286,5.99,1400.0
Trees 2–10 m,728,18,37.303623,38.011917,35.89906692504883,38.15843391418457,29.248148,29.271667,28.007778,27.97,21.787222,21.715,1.2403703,1.2050002,6.220556,6.299999,1800.0
Trees 2–10 m,733,22,29.611788,29.713776,29.22733163833618,29.86903142929077,27.533485,27.443333,25.685455,25.505001,20.938637,20.91,1.8480304,2.0416665,4.746818,4.6349993,2200.0
Trees 2–10 m,749,19,25.425655,25.408552,25.23537826538086,25.6495418548584,28.583685,28.55,27.578947,27.54,21.776316,21.45,1.0047368,1.0066662,5.8026314,5.7700005,1900.0
Trees 2–10 m,777,17,39.51742,39.444645,39.37030792236328,39.769874572753906,29.171371,29.006666,27.995882,27.85,21.578823,21.53,1.17549,1.1433321,6.4170585,6.34,1700.0
Trees 2–10 m,805,17,37.608063,37.383358,35.271183013916016,39.135009765625,29.011177,28.963333,27.761765,27.79,21.509413,21.54,1.2494116,1.2133331,6.252353,6.2700005,1700.0
Trees 2–10 m,817,9,43.34122,43.519436,42.65359878540039,43.86282730102539,28.586666,28.993334,27.492222,27.93,21.412222,21.63,1.0944444,1.0500011,6.08,6.300001,900.0
Trees 2–10 m,850,15,43.31144,43.396126,43.04135322570801,43.50595283508301,26.796888,26.776667,25.682001,25.69,20.207335,20.25,1.114889,1.1866665,5.474666,5.3999996,1500.0
Trees 2–10 m,867,11,40.836136,41.183205,39.972490310668945,41.94945526123047,29.153938,28.916666,28.039091,27.95,21.976364,21.79,1.1148485,1.1066653,6.0627275,5.9400005,1100.0
Trees 2–10 m,868,24,41.767105,41.623856,41.30210208892822,42.433194160461426,27.042084,27.208334,26.1225,26.265,20.8075,20.815,0.91958326,0.875,5.315,5.245,2400.0
Trees 2–10 m,898,39,36.98332,36.71533,36.35892677307129,37.24688720703125,27.844015,27.6,26.745382,26.64,20.756153,20.63,1.0986326,1.1466669,5.9892306,6.0199986,3900.0
Trees 2–10 m,911,10,41.89089,41.899513,41.513651847839355,42.04046154022217,27.574667,27.29,26.570002,26.400002,20.909,20.725,1.0046664,0.9899998,5.6610003,5.63,1000.0
Trees 2–10 m,913,73,38.29496,38.83944,36.713478088378906,39.60223388671875,27.65,27.403334,26.83863,26.72,21.059862,20.98,0.8113698,0.73333293,5.778767,5.720001,7300.0
Trees 2–10 m,914,12,39.88454,39.768814,39.47448921203613,40.270392417907715,28.368334,28.393333,27.166666,26.95,21.293333,21.115,1.2016668,1.1316664,5.873333,5.8550005,1200.0
Trees 2–10 m,929,9,41.618607,41.837402,41.38557434082031,41.876197814941406,26.735556,26.693333,25.682222,25.56,20.293333,20.14,1.0533332,1.2033329,5.388889,5.369999,900.0
Trees 2–10 m,952,45,33.781002,33.696156,32.972511291503906,34.625816345214844,29.307407,29.396667,28.033556,28.21,21.698444,21.69,1.2738519,1.2833334,6.3351107,6.3899994,4500.0
Trees 2–10 m,958,107,24.70387,24.623497,23.6959171295166,26.289226531982422,28.408537,28.163334,27.645233,27.53,21.663925,21.63,0.76330215,0.64000005,5.9813085,5.959999,10700.0
Trees 2–10 m,964,9,33.780907,33.97621,33.19695281982422,34.293418884277344,27.114075,27.19,25.148888,25.29,20.821112,20.92,1.9651849,1.899999,4.327778,4.3999996,900.0
Trees 2–10 m,970,15,20.306993,20.405832,19.90768337249756,20.7615385055542,28.541555,28.300001,28.3,28.1,22.333334,22.05,0.24155575,0.20333226,5.9666667,6.0699997,1500.0
Trees 2–10 m,971,28,17.315714,17.583107,15.847206354141235,18.825016021728516,28.125595,28.064999,27.758572,27.52,21.710714,21.665,0.36702397,0.36500043,6.047857,6.12,2800.0
Trees 2–10 m,981,9,39.003574,39.068985,38.63576889038086,39.22156524658203,26.866295,26.976665,26.036667,26.14,20.458889,20.52,0.82962924,0.81333286,5.577778,5.7299995,900.0
Trees 2–10 m,994,11,35.28941,35.403126,35.08942222595215,35.50120735168457,28.651213,28.75,27.514545,27.71,21.585455,21.59,1.1366664,1.1933321,5.929091,5.9300003,1100.0
Trees 2–10 m,1012,21,26.32432,26.04125,25.635683059692383,26.750659942626953,28.55,28.566666,27.630476,27.5,21.662857,21.57,0.9195238,0.8066667,5.9676185,5.84,2100.0
Trees 2–10 m,1018,9,37.33297,37.33634,37.32044219970703,37.35978317260742,27.982594,28.613333,26.156668,26.79,21.29,21.46,1.8259254,1.806666,4.866667,4.9000015,900.0
Trees 2–10 m,1031,60,20.458693,20.096851,19.584330558776855,20.702389240264893,27.791779,27.635,27.263334,27.16,21.649166,21.64,0.5284445,0.5399996,5.6141663,5.505,6000.0
Trees 2–10 m,1060,14,37.457153,37.445354,37.18719005584717,37.65808868408203,27.35857,27.355,26.522142,26.59,20.678572,20.715,0.8364286,0.8916661,5.843571,5.885,1400.0
Trees 2–10 m,1064,20,19.145947,19.29533,18.285568714141846,19.929240703582764,27.441502,27.806667,26.9555,27.32,21.048,21.275,0.48600012,0.5116663,5.9075,6.005,2000.0
Trees 2–10 m,1095,11,33.378178,34.07748,31.504015922546387,34.81218338012695,26.37788,26.58,25.532726,25.58,20.324545,20.24,0.8451515,0.8766658,5.208182,5.2699986,1100.0
Trees 2–10 m,1128,10,35.735493,35.764103,35.59517765045166,35.86268711090088,27.459,27.375,26.817999,26.775,21.194,21.175,0.6410002,0.64833385,5.6239996,5.615,1000.0
Trees 2–10 m,1132,15,32.880684,33.196438,32.33249282836914,34.26669120788574,29.453112,29.903334,27.980001,28.27,21.761333,21.78,1.4731108,1.4466661,6.2186666,6.3100014,1500.0
Trees 2–10 m,1140,10,33.18463,33.251335,33.10668659210205,33.40169906616211,29.108667,29.371666,27.895,28.24,21.792,21.7,1.2136668,1.2633333,6.1029997,6.3499994,1000.0
Trees 2–10 m,1145,11,36.757587,36.844757,36.52997398376465,37.003047943115234,26.564241,26.42,25.596363,25.65,19.992727,19.99,0.9678789,0.97666675,5.603636,5.3999996,1100.0
Trees 2–10 m,1196,21,36.03082,36.00021,35.85823440551758,36.179073333740234,28.201904,27.933332,27.007618,26.67,20.937143,20.82,1.1942855,1.2400004,6.0704765,6.0600014,2100.0
Trees 2–10 m,1221,95,25.015196,25.041204,24.183395385742188,25.838193893432617,27.927507,27.863333,27.298317,27.28,21.391052,21.39,0.6291929,0.57666653,5.9072633,5.91,9500.0
Trees 2–10 m,1271,9,36.831818,36.91387,36.69922637939453,37.11624526977539,27.304445,27.106667,26.247778,26.22,20.395555,20.33,1.0566666,1.0333334,5.852222,5.8899994,900.0
Trees 2–10 m,1272,14,32.00827,31.977943,31.772226810455322,32.31087875366211,26.821192,27.078333,26.136429,26.305,20.467144,20.355,0.684762,0.67333347,5.669286,5.75,1400.0
Trees 2–10 m,1279,71,21.373688,21.676872,19.90000057220459,22.804723739624023,27.157745,26.743334,26.470564,26.18,20.900562,20.67,0.687183,0.57999927,5.57,5.5,7100.0
Trees 2–10 m,1287,14,31.410978,31.22634,30.679387092590332,32.39735794067383,25.972857,25.911667,25.119287,24.965,19.930714,19.955,0.85357124,0.8083331,5.1885715,5.2300014,1400.0
Trees 2–10 m,1309,135,27.056154,26.880278,26.42841339111328,27.64114761352539,27.043457,27.006666,26.390888,26.34,20.872742,20.87,0.65256786,0.6466656,5.5181484,5.49,13500.0
Trees 2–10 m,1340,15,34.044254,34.054764,33.75523376464844,34.39618110656738,28.396444,28.119999,27.363335,27.46,21.388666,21.37,1.0331112,1.0866667,5.974666,5.950001,1500.0
Trees 2–10 m,1382,47,31.245335,31.113195,30.771986961364746,31.486387252807617,27.067448,27.306667,26.416382,26.67,20.754469,21.07,0.65106386,0.6466662,5.6619143,5.6900005,4700.0
Trees 2–10 m,1398,266,35.017864,34.917076,34.600364685058594,35.29342746734619,29.294424,29.275002,27.799776,27.814999,21.59985,21.54,1.494649,1.4933336,6.199925,6.2299995,26600.0
Trees 2–10 m,1422,13,35.243607,35.154964,35.03782272338867,35.500850677490234,28.669487,29.063334,27.33,27.68,21.195385,21.28,1.339487,1.4033324,6.1346154,6.210001,1300.0
Trees 2–10 m,1429,55,24.360376,24.231266,22.274773597717285,26.416266441345215,27.042788,27.143333,25.25891,25.2,20.694363,20.65,1.7838787,1.8433342,4.5645456,4.49,5500.0
Trees 2–10 m,1444,10,22.225897,22.438456,21.23201608657837,22.959317684173584,27.251001,27.263332,26.567999,26.46,21.003,21.044998,0.6829999,0.7066663,5.565,5.6550007,1000.0
Trees 2–10 m,1450,1225,23.911415,24.237665,22.2876033782959,25.793582916259766,27.629898,27.523333,26.838139,26.81,21.066963,21.07,0.79176056,0.72000057,5.7711754,5.76,122500.0
Trees 2–10 m,1474,15,18.61098,18.920404,16.852691650390625,19.93901252746582,27.392221,27.25,25.855999,25.65,21.157999,21.03,1.5362221,1.5866667,4.698,4.6900005,1500.0
Trees 2–10 m,1476,16,29.300926,29.224327,28.819727420806885,29.62494134902954,27.4925,27.470001,25.77625,25.64,20.985,21.055,1.7162498,1.7716658,4.79125,4.7,1600.0
Trees 2–10 m,1498,14,29.898726,29.793629,29.448355674743652,30.210221767425537,26.893572,26.798332,25.995714,25.849998,20.459286,20.35,0.8978575,0.8750003,5.536428,5.4900007,1400.0
Trees 2–10 m,1500,78,34.877235,34.85456,34.70024299621582,35.05123996734619,29.306324,29.073334,27.831669,27.695,21.58218,21.455,1.4746583,1.4450006,6.249487,6.200001,7800.0
Trees 2–10 m,1533,10,33.7647,33.76135,33.62106800079346,33.8873405456543,28.747334,28.869999,27.395,27.455002,21.282001,21.345001,1.352333,1.4883325,6.113,6.120001,1000.0
Trees 2–10 m,1549,10,26.747034,26.546131,25.2992901802063,27.789243698120117,27.505667,27.744999,27.02,27.13,21.147,21.275002,0.4856667,0.54333365,5.8729997,5.864999,1000.0
Trees 2–10 m,1551,29,34.525475,34.52294,34.4482421875,34.63483810424805,29.351034,29.233334,27.832415,27.71,21.552069,21.44,1.5186206,1.4699999,6.280345,6.33,2900.0
Trees 2–10 m,1575,312,23.476221,23.826561,22.189324855804443,24.88746929168701,28.0936,27.861668,27.231632,27.1,21.381796,21.33,0.8619658,0.7766663,5.8498397,5.84,31200.0
