class,loss_percent
Trees 2–10 m,27.68996810913086
Trees 2–10 m,16.529186248779297
Trees 2–10 m,0.0
Trees 2–10 m,4.8517255783081055
Trees 2–10 m,25.050743103027344
Trees 2–10 m,5.585658073425293
Trees 2–10 m,30.172529220581055
Trees 2–10 m,32.94733810424805
Trees 2–10 m,14.27737808227539
Trees 2–10 m,9.50341796875
Trees 2–10 m,5.363536357879639
Trees 2–10 m,5.682591438293457
Trees 2–10 m,4.381593227386475
Trees 2–10 m,23.652273178100586
Trees 2–10 m,0.5528651475906372
Trees 2–10 m,25.98228645324707
Trees 2–10 m,8.900812149047852
Trees 2–10 m,4.410027503967285
Trees 2–10 m,25.576152801513672
Trees 2–10 m,5.155780792236328
Trees 2–10 m,2.6069395542144775
Trees 2–10 m,9.99843692779541
Trees 2–10 m,20.600746154785156
Trees 2–10 m,7.984560966491699
Trees 2–10 m,34.684661865234375
Trees 2–10 m,6.885451316833496
Trees 2–10 m,0.12557066977024078
Trees 2–10 m,31.26288414001465
Trees 2–10 m,18.923852920532227
Trees 2–10 m,38.884307861328125
Trees 2–10 m,15.333216667175293
Trees 2–10 m,9.10841178894043
Trees 2–10 m,9.801095008850098
Trees 2–10 m,9.043571472167969
Trees 2–10 m,42.7243537902832
Trees 2–10 m,17.361469268798828
Trees 2–10 m,1.9565895795822144
Trees 2–10 m,42.51688766479492
Trees 2–10 m,6.311731338500977
Trees 2–10 m,14.020845413208008
Trees 2–10 m,2.8963184356689453
Trees 2–10 m,25.52829360961914
Trees 2–10 m,8.2330904006958
Trees 2–10 m,0.5901178121566772
Trees 2–10 m,0.0
Trees 2–10 m,5.62699556350708
Trees 2–10 m,0.745476484298706
Trees 2–10 m,8.39894962310791
Trees 2–10 m,12.306731224060059
Trees 2–10 m,49.18826675415039
Trees 2–10 m,28.703004837036133
Trees 2–10 m,17.534286499023438
Trees 2–10 m,1.6310569047927856
Trees 2–10 m,2.4184317588806152
Trees 2–10 m,6.213243007659912
Trees 2–10 m,8.79581356048584
Trees 2–10 m,5.90219259262085
Trees 2–10 m,7.993480205535889
Trees 2–10 m,1.7817257642745972
Trees 2–10 m,13.954435348510742
Trees 2–10 m,54.87759780883789
Trees 2–10 m,6.622984409332275
Trees 2–10 m,9.82360553741455
Trees 2–10 m,10.216042518615723
Trees 2–10 m,24.64716339111328
Trees 2–10 m,16.73298454284668
Trees 2–10 m,21.915525436401367
Trees 2–10 m,17.224748611450195
Trees 2–10 m,10.272488594055176
Trees 2–10 m,2.0610318183898926
Trees 2–10 m,13.036358833312988
Trees 2–10 m,6.7840495109558105
Trees 2–10 m,2.065042734146118
Trees 2–10 m,16.804533004760742
Trees 2–10 m,9.070100784301758
Trees 2–10 m,10.437880516052246
Trees 2–10 m,0.0
Trees 2–10 m,10.684109687805176
Trees 2–10 m,16.596406936645508
Trees 2–10 m,30.795011520385742
Trees 2–10 m,3.0451626777648926
Trees 2–10 m,26.606712341308594
