class,loss_percent
Trees 2–10 m,7.588062286376953
Trees 2–10 m,21.624780654907227
Trees 2–10 m,0.0
Trees 2–10 m,1.782540202140808
Trees 2–10 m,2.9759674072265625
Trees 2–10 m,4.737085819244385
Trees 2–10 m,8.77199649810791
Trees 2–10 m,6.0387678146362305
Trees 2–10 m,20.828052520751953
Trees 2–10 m,12.611701965332031
Trees 2–10 m,9.42524242401123
Trees 2–10 m,1.0770145654678345
Trees 2–10 m,23.169599533081055
Trees 2–10 m,7.2147016525268555
Trees 2–10 m,0.0
Trees 2–10 m,1.0336586236953735
Trees 2–10 m,9.26203727722168
Trees 2–10 m,38.9807014465332
Trees 2–10 m,4.8178887367248535
Trees 2–10 m,3.9572408199310303
Trees 2–10 m,14.700345993041992
Trees 2–10 m,3.524883508682251
Trees 2–10 m,11.808781623840332
Trees 2–10 m,17.003915786743164
Trees 2–10 m,46.93581008911133
Trees 2–10 m,10.529315948486328
Trees 2–10 m,3.229830503463745
Trees 2–10 m,8.982559204101562
Trees 2–10 m,0.8870319724082947
Trees 2–10 m,42.26286315917969
Trees 2–10 m,19.83141326904297
Trees 2–10 m,6.0115065574646
Trees 2–10 m,0.0
Trees 2–10 m,5.920915603637695
Trees 2–10 m,14.930704116821289
Trees 2–10 m,7.579442977905273
Trees 2–10 m,9.275696754455566
Trees 2–10 m,11.3894624710083
Trees 2–10 m,4.084799289703369
Trees 2–10 m,9.416970252990723
Trees 2–10 m,29.29727554321289
Trees 2–10 m,11.866029739379883
Trees 2–10 m,7.330475330352783
Trees 2–10 m,4.400580406188965
Trees 2–10 m,5.02626895904541
Trees 2–10 m,7.187325477600098
Trees 2–10 m,0.0
Trees 2–10 m,27.45346450805664
Trees 2–10 m,10.809024810791016
Trees 2–10 m,2.9372973442077637
Trees 2–10 m,7.674752235412598
Trees 2–10 m,6.784310817718506
Trees 2–10 m,5.945260047912598
Trees 2–10 m,15.51901912689209
Trees 2–10 m,6.409512996673584
Trees 2–10 m,11.341046333312988
Trees 2–10 m,1.7485028505325317
Trees 2–10 m,5.592703819274902
Trees 2–10 m,11.306181907653809
Trees 2–10 m,9.1238374710083
Trees 2–10 m,17.85588264465332
Trees 2–10 m,11.998662948608398
Trees 2–10 m,11.868183135986328
Trees 2–10 m,23.74074363708496
Trees 2–10 m,7.028655052185059
Trees 2–10 m,0.0
Trees 2–10 m,19.471155166625977
Trees 2–10 m,4.915493488311768
Trees 2–10 m,2.2934188842773438
Trees 2–10 m,22.414180755615234
Trees 2–10 m,2.473932981491089
Trees 2–10 m,10.68255615234375
Trees 2–10 m,20.312213897705078
Trees 2–10 m,0.0
Trees 2–10 m,0.42653146386146545
Trees 2–10 m,6.676102638244629
Trees 2–10 m,9.69411563873291
Trees 2–10 m,5.481448650360107
Trees 2–10 m,11.744964599609375
Trees 2–10 m,21.7233829498291
Trees 2–10 m,30.361087799072266
Trees 2–10 m,20.40595817565918
Trees 2–10 m,4.320221424102783
Trees 2–10 m,14.794451713562012
Trees 2–10 m,14.102567672729492
Trees 2–10 m,9.859457969665527
Trees 2–10 m,0.8966401219367981
Trees 2–10 m,8.13830852508545
Trees 2–10 m,15.441046714782715
Trees 2–10 m,6.8966569900512695
Trees 2–10 m,20.22216796875
Trees 2–10 m,15.607492446899414
Trees 2–10 m,3.86784029006958
Trees 2–10 m,19.535043716430664
Trees 2–10 m,0.0
Trees 2–10 m,11.166887283325195
Trees 2–10 m,23.411134719848633
Trees 2–10 m,0.0
Trees 2–10 m,5.226767063140869
Trees 2–10 m,8.201315879821777
Trees 10–15 m,16.18917465209961
Trees 10–15 m,22.992919921875
Trees 10–15 m,11.641817092895508
Trees 10–15 m,4.639500617980957
Trees 10–15 m,25.679359436035156
Trees 10–15 m,27.65544319152832
Trees 10–15 m,14.048140525817871
Trees 10–15 m,4.733531951904297
Trees 10–15 m,6.5513834953308105
Trees 10–15 m,31.038511276245117
Trees 10–15 m,20.640480041503906
Trees 10–15 m,16.186405181884766
Trees 10–15 m,28.388813018798828
Trees 10–15 m,6.303846836090088
Trees 10–15 m,8.002911567687988
Trees 10–15 m,6.879017353057861
Trees 10–15 m,42.10198211669922
Trees 10–15 m,9.349430084228516
Trees 10–15 m,54.250244140625
Trees 10–15 m,9.48784065246582
Trees 10–15 m,4.7637152671813965
Trees 10–15 m,13.939356803894043
Trees 10–15 m,24.246685028076172
Trees 10–15 m,31.924280166625977
Trees 10–15 m,3.3319485187530518
Trees 10–15 m,7.763830661773682
Trees 10–15 m,0.0
Trees 10–15 m,27.411203384399414
Trees 10–15 m,14.459249496459961
Trees 10–15 m,4.392221927642822
Trees 10–15 m,1.8796058893203735
Trees 10–15 m,18.273849487304688
Trees 10–15 m,5.4647440910339355
Trees 10–15 m,43.69835662841797
Trees 10–15 m,3.1114554405212402
Trees 10–15 m,18.21788787841797
Trees 10–15 m,8.874720573425293
Trees 10–15 m,38.77125549316406
Trees 10–15 m,4.580463886260986
Trees 10–15 m,8.492053985595703
Trees 10–15 m,9.099413871765137
Trees 10–15 m,4.1774067878723145
Trees 10–15 m,30.734800338745117
Trees 10–15 m,3.928382396697998
Trees 10–15 m,10.27783489227295
Trees 10–15 m,19.274538040161133
Trees 10–15 m,20.27204132080078
Trees 10–15 m,0.0
Trees 10–15 m,4.284079551696777
Trees 10–15 m,13.860616683959961
Trees 10–15 m,6.650066375732422
Trees 10–15 m,14.935569763183594
Trees 10–15 m,14.651532173156738
Trees 10–15 m,6.596951961517334
Trees 10–15 m,2.623781442642212
Trees 10–15 m,5.900180816650391
Trees 10–15 m,20.870094299316406
Trees 10–15 m,6.5666728019714355
Trees 10–15 m,30.763011932373047
Trees 10–15 m,4.139346122741699
Trees 10–15 m,6.600386619567871
Trees 10–15 m,7.070813179016113
Trees 10–15 m,8.51046085357666
Trees 10–15 m,7.459106922149658
Trees 10–15 m,5.16110372543335
Trees 10–15 m,1.3841205835342407
Trees 10–15 m,4.140998840332031
Trees 10–15 m,5.077535629272461
Trees 10–15 m,9.2490873336792
Trees 10–15 m,16.74706268310547
Trees 10–15 m,2.4498255252838135
Trees 10–15 m,21.66500473022461
Trees 10–15 m,4.05789852142334
Trees 10–15 m,69.73406982421875
Trees 10–15 m,17.38438606262207
Trees 10–15 m,0.0
Trees 10–15 m,5.755771636962891
Trees 10–15 m,6.447413921356201
Trees 10–15 m,0.44421863555908203
Trees 10–15 m,7.148744583129883
Trees 10–15 m,18.473173141479492
Trees 10–15 m,36.10414123535156
Trees 10–15 m,15.53011417388916
Trees 10–15 m,10.414015769958496
Trees 10–15 m,3.232379198074341
Trees 10–15 m,24.528366088867188
Trees 10–15 m,10.043035507202148
Trees 10–15 m,14.218306541442871
Trees 10–15 m,29.433109283447266
Trees 10–15 m,1.9402720928192139
Trees 10–15 m,0.0
Trees 10–15 m,17.00748062133789
Trees 10–15 m,12.253411293029785
Trees 10–15 m,10.58925724029541
Trees 10–15 m,28.09809684753418
Trees 10–15 m,9.28685188293457
Trees 10–15 m,0.0
Trees 10–15 m,24.959760665893555
Trees 10–15 m,5.855792045593262
Trees 10–15 m,5.194548606872559
Trees >15 m,20.742507934570312
Trees >15 m,18.7936954498291
Trees >15 m,11.52275276184082
Trees >15 m,32.27937316894531
Trees >15 m,5.96633768081665
Trees >15 m,15.859583854675293
Trees >15 m,7.7212114334106445
Trees >15 m,8.382424354553223
Trees >15 m,11.151042938232422
Trees >15 m,5.790704727172852
Trees >15 m,15.185724258422852
Trees >15 m,10.483907699584961
Trees >15 m,10.05842113494873
Trees >15 m,6.803415298461914
Trees >15 m,4.412252902984619
Trees >15 m,8.44446849822998
Trees >15 m,6.706083297729492
Trees >15 m,6.948001384735107
Trees >15 m,2.4263105392456055
Trees >15 m,17.709518432617188
Trees >15 m,34.012855529785156
Trees >15 m,36.094573974609375
Trees >15 m,32.069122314453125
Trees >15 m,40.37755584716797
Trees >15 m,59.62821960449219
Trees >15 m,3.0213522911071777
Trees >15 m,4.2753143310546875
Trees >15 m,9.66805362701416
Trees >15 m,46.288536071777344
Trees >15 m,20.673070907592773
Trees >15 m,15.664907455444336
Trees >15 m,7.231297969818115
Trees >15 m,27.372323989868164
Trees >15 m,21.485668182373047
Trees >15 m,1.6539090871810913
Trees >15 m,2.5119335651397705
Trees >15 m,48.27764129638672
Trees >15 m,3.1164140701293945
Trees >15 m,12.158455848693848
Trees >15 m,3.560441255569458
Trees >15 m,66.67596435546875
Trees >15 m,20.09956932067871
Trees >15 m,10.175869941711426
Trees >15 m,19.3770694732666
Trees >15 m,15.903339385986328
Trees >15 m,10.385894775390625
Trees >15 m,0.17312094569206238
Trees >15 m,40.330135345458984
Trees >15 m,0.0
Trees >15 m,6.5655717849731445
Trees >15 m,43.638145446777344
Trees >15 m,25.92221450805664
Trees >15 m,3.6303000450134277
Trees >15 m,64.59860229492188
Trees >15 m,6.53192138671875
Trees >15 m,0.0
Trees >15 m,5.296200752258301
