class,label,n_pixels,mean_loss_percent,median_loss_percent,q25_loss_percent,q75_loss_percent,p90_loss_percent,p95_loss_percent
Trees 2–10 m,Trees 2–10 m,208679,13.084617854572612,9.896717071533203,5.136685371398926,18.750250816345215,27.754733657836915,34.539939117431615
Trees 10–15 m,Trees 10–15 m,122315,13.710520647238528,10.321174621582031,5.645137548446655,19.341650009155273,29.71852416992188,36.49961738586425
Trees >15 m,Trees >15 m,283358,15.432338319940097,10.861809730529785,5.334190845489502,20.78697919845581,35.518286132812506,49.87111492156971
Fields,Fields,77079,10.03729286289226,5.6636223793029785,1.9435130953788757,14.601411819458008,21.873188400268553,40.36670913696282
Other vegetation,Other veg.,370481,11.08581280384913,8.790417671203613,3.928521156311035,16.248308181762695,23.868492126464844,29.008419036865234
