corner_class,corner_label,connectivity_loss_percent
cool_stable,Cool-stable,3.973461151123047
cool_stable,Cool-stable,7.937657833099365
cool_stable,Cool-stable,7.333230972290039
cool_stable,Cool-stable,10.907380104064941
cool_stable,Cool-stable,15.101151466369629
cool_stable,Cool-stable,4.52707052230835
cool_stable,Cool-stable,5.8126726150512695
cool_stable,Cool-stable,32.08828353881836
cool_stable,Cool-stable,9.699082374572754
cool_stable,Cool-stable,1.28719162940979
cool_stable,Cool-stable,2.075688362121582
cool_stable,Cool-stable,-22.727964401245117
cool_stable,Cool-stable,10.604755401611328
cool_stable,Cool-stable,0.7214975357055664
cool_stable,Cool-stable,6.751406192779541
cool_stable,Cool-stable,8.099613189697266
cool_stable,Cool-stable,26.141185760498047
cool_stable,Cool-stable,4.335143566131592
cool_stable,Cool-stable,4.612209320068359
cool_stable,Cool-stable,6.914186477661133
cool_stable,Cool-stable,1.097534418106079
cool_stable,Cool-stable,3.987307548522949
cool_stable,Cool-stable,5.522480487823486
cool_stable,Cool-stable,23.13067626953125
cool_stable,Cool-stable,-0.7704529762268066
cool_stable,Cool-stable,1.2574065923690796
cool_stable,Cool-stable,3.193120241165161
cool_stable,Cool-stable,22.57185173034668
cool_stable,Cool-stable,3.150771379470825
cool_stable,Cool-stable,0.7275452017784119
cool_stable,Cool-stable,4.910958290100098
cool_stable,Cool-stable,7.929314136505127
cool_stable,Cool-stable,17.728120803833008
cool_stable,Cool-stable,9.102346420288086
cool_stable,Cool-stable,14.663683891296387
cool_stable,Cool-stable,9.992481231689453
cool_stable,Cool-stable,8.148527145385742
cool_stable,Cool-stable,2.3927626609802246
cool_stable,Cool-stable,3.067660331726074
cool_stable,Cool-stable,3.8672003746032715
cool_stable,Cool-stable,1.702760934829712
cool_stable,Cool-stable,9.972230911254883
cool_stable,Cool-stable,8.672547340393066
cool_stable,Cool-stable,5.410323619842529
cool_stable,Cool-stable,13.37216854095459
cool_stable,Cool-stable,8.462900161743164
cool_stable,Cool-stable,16.581571578979492
cool_stable,Cool-stable,-0.12345021963119507
cool_stable,Cool-stable,11.417259216308594
cool_stable,Cool-stable,53.92713165283203
cool_stable,Cool-stable,13.318389892578125
cool_stable,Cool-stable,15.18327808380127
cool_stable,Cool-stable,21.67916488647461
cool_stable,Cool-stable,4.254591941833496
cool_stable,Cool-stable,-0.6685442924499512
cool_stable,Cool-stable,9.639660835266113
cool_stable,Cool-stable,12.437373161315918
cool_stable,Cool-stable,9.518219947814941
cool_stable,Cool-stable,5.1834282875061035
