corner_class,corner_label,temp_bin,offset_bin,pixel_count,area_m2,area_km2,dominant_lulc,dominant_lulc_percent,median_heatwave_temp_degC,mean_heatwave_temp_degC,median_mean_baseline_temp_degC,mean_mean_baseline_temp_degC,median_p90_temp_degC,mean_p90_temp_degC,median_hw_minus_mean_degC,mean_hw_minus_mean_degC,median_hw_minus_p90_degC,mean_hw_minus_p90_degC,median_p90_connectivity_loss_percent,mean_p90_connectivity_loss_percent,q25_p90_connectivity_loss_percent,q75_p90_connectivity_loss_percent,share_area_loss_gt_10pct,share_area_loss_gt_20pct,n_patches,median_patch_area_m2,largest_patch_area_m2,patches_per_km2
cool_stable,Cool-stable,0,0,196956,19695600.0,19.6956,Trees >15 m,59.938768049716685,25.799999872843426,25.87982916624568,20.31999969482422,20.413497837482836,25.18000030517578,25.238744743213296,5.510000864664715,5.4663313287628466,0.5900001525878906,0.6410844230323887,6.9066033363342285,8.538455550090806,3.5512118339538574,11.743745803833008,0.31892340307862477,0.07992604360391037,28303,100.0,228500.0,1437.0214667235323
cool_amplifying,Cool-amplifying,0,3,26735,2673500.0,2.6735,Trees >15 m,80.17953992893212,26.71666653951009,26.659964965345647,19.940000534057617,19.883830557302915,25.059999465942383,25.02061529592953,6.726666768391926,6.776134408042732,1.6500008900960275,1.6393496694161138,25.951160430908203,30.25311488826875,16.159496307373047,42.91861915588379,0.8576904287700575,0.6450715869377325,5723,100.0,268300.0,2140.6396109968205
hot_stable,Hot-stable,3,0,67335,6733500.0,6.7335,Other vegetation,48.2988044850375,28.996666590372723,29.127349175894867,23.469999313354492,23.632107371155133,28.700000762939453,28.79503898427987,5.593333562215168,5.495241804739729,0.28333346048991004,0.33231019161499414,4.685463905334473,4.94454035197493,2.013747990131378,9.409701347351074,0.22753682359222385,0.06348732765930719,18833,100.0,324900.0,2796.910967550308
hot_amplifying,Hot-amplifying,3,3,150960,15096000.0,15.096,Other vegetation,40.32525172231055,29.163333257039387,29.338690846296114,22.079999923706055,22.247623607451537,28.420000076293945,28.482770733525022,6.993332544962566,7.0910672388445715,0.8033332824707031,0.8559201127710833,16.37943935394287,16.9626001785781,7.932661294937134,24.960388660430908,0.6792460151169468,0.37599137061352456,35129,100.0,223400.0,2327.0402755696873
