class,patch_id,n_pixels,connectivity_loss_mean_percent,connectivity_loss_median_percent,connectivity_loss_p25_percent,connectivity_loss_p75_percent,connectivity_loss_p90_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_baseline_temp_mean_degC,p90_baseline_temp_median_degC,p90_offset_mean_degC,p90_offset_median_degC,p90_offset_p25_degC,p90_offset_p75_degC,area_m2,log10_area_m2,expected_p90_offset_degC,residual_cooling_loss_degC
Trees 2–10 m,181,17,15.421751,15.270226,15.149231910705566,15.762460708618164,15.972070121765137,27.374313,27.316668,26.651176,26.46,0.7231372,0.6699994,0.5966675877571106,0.8833332061767578,1700.0,3.230448921378274,0.7360907035962551,-0.06609128295340227
Trees 2–10 m,182,85,40.92635,41.358402,39.94406509399414,42.39120864868164,42.84341812133789,27.784746,27.73,26.867647,26.85,0.9170981,0.97000057,0.7199999690055847,1.063333511352539,8500.0,3.929418925714293,0.6962653803493452,0.2737351847026873
Trees 2–10 m,194,14,19.549957,19.786633,19.656537532806396,19.81340503692627,19.902255249023437,28.451666,28.476665,28.11,28.165,0.3416663,0.3116662,0.14166641235351562,0.4174989014863968,1400.0,3.146128035678238,0.6669369278800336,-0.3552707372557965
Trees 2–10 m,197,18,16.157745,16.285961,16.073469161987305,16.46586275100708,16.544575691223145,28.79889,28.81,27.792778,27.63,1.0061113,1.0666666,0.9066665768623352,1.2366666793823242,1800.0,3.255272505103306,0.6442870735490646,0.42237952953931435
Trees 2–10 m,209,18,19.610374,19.689499,19.195108890533447,20.19584560394287,20.496721458435058,26.06963,26.023335,25.090555,24.945,0.9790742,0.98166656,0.9308338165283203,1.0633338391780853,1800.0,3.255272505103306,0.8146344290210535,0.1670321359203527
Trees 2–10 m,214,9,38.543713,38.658314,38.599693298339844,38.81509780883789,39.25554504394531,29.222591,29.203333,28.303333,28.26,0.91925937,1.0933336,0.6466668248176575,1.1566663980484009,900.0,2.9542425094393248,0.6265128381358828,0.46682076381571636
Trees 2–10 m,215,26,32.235714,31.88518,30.841958045959473,33.8469877243042,35.21598434448242,28.90859,28.916668,27.742308,27.81,1.1662822,1.1650006,1.090833991765976,1.2808340191841125,2600.0,3.4149733479708178,0.6344401433453146,0.5305604145541605
Trees 2–10 m,226,10,37.775784,37.712067,37.330196380615234,38.06447887420654,38.792856979370114,27.486002,27.693333,26.726002,26.974998,0.76000035,0.6766672,0.5641663819551468,0.9733335077762604,1000.0,3.0,0.7178652897036484,-0.04119807626370697
Trees 2–10 m,233,25,20.901192,20.891602,18.92457389831543,22.914587020874023,23.255503463745118,26.591867,26.543333,25.8132,25.72,0.7786666,0.7600002,0.6500008702278137,0.8533331751823425,2500.0,3.3979400086720375,0.7798756301171956,-0.01987540123535969
Trees 2–10 m,234,10,18.383883,18.338455,18.23214292526245,18.469650745391846,18.732287979125978,27.085667,26.813334,26.623001,26.315,0.4626665,0.49000007,0.37250058352947235,0.5666659772396088,1000.0,3.0,0.7716591730218745,-0.28165910388048654
