patch_id,corner,bivariate_id,n_pixels,area_m2,canopy_height_max,elevation,slope,tpi_50m,dist_ocean,dist_inland_water,building_50m,impervious_50m
54,cool-stable,1,22,2200.0,24.107,19.314,3.1975024,-0.84225965,2213.5378,185.86536,0.0,0.0
55,cool-stable,1,164,16400.0,25.654,20.4385,1.2406381,-0.07210037,2659.53,485.84918,0.0,0.0
56,cool-stable,1,145,14500.0,27.249,18.526,2.553972,-0.33639938,2169.3315,212.13203,1.1034483e-05,0.0
57,cool-stable,1,16,1600.0,22.694,19.9905,0.2948047,-0.0076200487,2364.2432,426.67227,0.0,0.0
58,cool-stable,1,65,6500.0,25.59,14.764,0.8337879,-0.10048046,3000.0,63.245552,0.011766154,0.058248814
59,cool-stable,1,17,1700.0,24.289,15.946,0.6125544,-0.15912,3000.0,80.622574,0.005152941,0.14960058
60,cool-stable,1,12,1200.0,24.064,26.084,13.082482,0.8925001,2217.1265,29.142136,0.0034333335,0.017067902
61,cool-stable,1,120,12000.0,27.668999,20.9865,1.1831541,-0.28129986,2671.919,295.21033,0.0,0.0
62,cool-stable,1,53,5300.0,24.842,26.645,2.4000032,-0.0071203616,2514.319,480.10413,0.0039773583,0.0010319124
63,cool-stable,1,101,10100.0,25.888,16.59,0.84374094,-0.06887928,2061.674,80.622574,0.000114851486,0.0038772766
64,cool-stable,1,17,1700.0,27.12,22.294,3.6035767,-0.54356104,2890.121,194.16489,0.0,0.0
65,cool-stable,1,29,2900.0,22.022,20.238,0.8143877,-0.09572067,2187.6243,500.0,0.0,0.0
66,cool-stable,1,10,1000.0,27.638,28.366,3.667202,0.8832203,2847.753,147.13144,0.0,0.0
67,cool-stable,1,349,34900.0,28.895,19.526,0.6066399,-0.03948059,2718.1245,60.0,0.0,0.0
68,cool-stable,1,55,5500.0,23.276,26.14,2.8279512,-0.12136055,2394.264,500.0,0.0041018184,0.0
69,cool-stable,1,59,5900.0,32.408,19.192,0.98366225,-0.2747605,2667.002,20.0,0.0,0.0
70,cool-stable,1,85,8500.0,24.995,24.59,0.88021845,-0.27560058,2207.827,500.0,0.0,0.0
71,cool-stable,1,39,3900.0,23.317,22.142,2.0643234,-0.21759948,2491.907,500.0,0.0,0.0
72,cool-stable,1,24,2400.0,23.616,23.675999,1.5200155,-0.23039986,2379.7373,500.0,0.0,0.04670267
73,cool-stable,1,236,23600.0,24.805,24.529,1.2089763,-0.0874004,2349.0635,500.0,0.0,0.0
74,cool-stable,1,9,900.0,28.574,17.891,9.665379,-1.0719601,1978.8127,180.27756,0.008577777,0.0025514404
75,cool-stable,1,10,1000.0,22.511,23.84,2.5061126,-0.66302013,1939.8325,173.60596,0.0,0.0
76,cool-stable,1,65,6500.0,23.113,16.34,1.6023852,-0.36171967,1902.2356,218.4033,0.0006153846,0.0021880344
77,cool-stable,1,10,1000.0,24.942501,17.952,2.470687,0.42378056,3000.0,42.426407,0.0,0.00039506174
78,cool-stable,1,29,2900.0,26.154,24.409,2.830657,0.13388054,2114.4265,500.0,0.0,0.0
79,cool-stable,1,12,1200.0,26.140999,25.7145,4.5636683,0.0948603,2107.1045,500.0,0.0,0.0
80,cool-stable,1,96,9600.0,29.706001,20.786499,2.5296674,-0.3610201,2025.9442,500.0,0.0,0.0
81,cool-stable,1,1065,106500.0,25.707,18.486,0.4149436,-0.03003914,3000.0,125.299644,0.003964695,0.011855793
82,cool-stable,1,17,1700.0,24.494,26.237,1.8741497,-0.12175995,2237.789,500.0,0.0,0.0
83,cool-stable,1,10,1000.0,24.303501,15.816999,1.3147925,-0.19832009,3000.0,53.28427,0.04008,0.060012348
84,cool-stable,1,18,1800.0,23.1155,19.472,1.6390814,-0.078539506,2612.9104,10.0,0.0,0.0
85,cool-stable,1,22,2200.0,19.3925,30.8155,20.593334,0.59277964,1795.4524,313.2882,0.022109091,0.0035634118
86,cool-stable,1,16,1600.0,24.92,20.221,0.7695332,-0.14587982,2039.1539,500.0,0.0,0.0
87,cool-stable,1,21,2100.0,25.373,21.932,4.442329,-0.2576806,2066.035,500.0,0.0,0.020770136
88,cool-stable,1,54,5400.0,25.419998,16.625,3.1603587,-0.32109937,1699.4556,420.11902,0.0048,0.0011454046
89,cool-stable,1,11,1100.0,6.52,36.025,8.3659115,-0.25567964,3000.0,500.0,0.100072734,0.2224579
90,cool-stable,1,10,1000.0,26.98,28.348,3.4800115,-0.6596198,2480.9976,132.46014,0.0,0.0
91,cool-stable,1,413,41300.0,27.414,19.235,2.8703322,-0.30460098,1656.4117,500.0,0.0,0.019300213
92,cool-stable,1,18,1800.0,24.3255,26.5765,3.0745635,-0.07591946,2659.3503,130.0,0.0,0.0
93,cool-stable,1,57,5700.0,26.088,20.413,2.607611,-0.32636046,1947.9734,442.8318,0.0,0.030654104
94,cool-stable,1,14,1400.0,19.515,29.034,21.143694,0.31402004,1649.3179,459.94446,0.0,0.0
95,cool-stable,1,11,1100.0,23.303,21.085,4.2832713,-0.42711976,2464.001,80.0,0.0,0.0
96,cool-stable,1,76,7600.0,25.4045,24.078499,5.453092,-0.10641987,1954.904,344.45517,0.0035157893,0.011065627
97,cool-stable,1,23,2300.0,26.739,10.209,3.1262758,-0.045999527,3000.0,40.0,0.01653913,0.08698336
98,cool-stable,1,10,1000.0,24.827,21.7645,3.774499,-0.22077945,3000.0,255.49548,0.05636,0.06546914
99,cool-stable,1,29,2900.0,25.391,27.627,3.0907626,-0.4326007,1843.285,481.6638,0.0,0.0
100,cool-stable,1,15,1500.0,26.009,16.68,2.82295,-0.23372012,1601.2495,500.0,0.0011199999,0.0
101,cool-stable,1,13,1300.0,26.572,22.397,3.0743058,0.1437194,3000.0,140.0,0.0,0.0
102,cool-stable,1,11,1100.0,30.023,20.246,3.5630522,-0.12564072,3000.0,186.81541,0.015636364,0.043771043
103,cool-stable,1,15,1500.0,25.201,22.839,0.6310235,-0.057119217,3000.0,315.75305,0.009546666,0.05603292
