group,x,y,n,rho,p_value
panel d: mean heatwave T,heatwave_temp_median_degC,connectivity_change_median_percent,14452,0.15376071734653257,3.6177497983536045e-77
panel d: heatwave minus p90 baseline,hw_minus_p90_median_degC,connectivity_change_median_percent,14452,0.5088020204315539,0.0
panel e: mean p90 T,p90_temp_median_degC,connectivity_change_median_percent,14452,-0.046268528496488104,2.6254625336820744e-08
panel e: p90 minus mean baseline,p90_minus_mean_median_degC,connectivity_change_median_percent,14452,0.01767104866623656,0.03364228952094713
class medians: mean heatwave T,heatwave_temp_median_degC,connectivity_change_median_percent,5,-0.49999999999999994,0.39100221895577053
class medians: heatwave minus p90 baseline,hw_minus_p90_median_degC,connectivity_change_median_percent,5,0.49999999999999994,0.39100221895577053
class medians: mean p90 T,p90_temp_median_degC,connectivity_change_median_percent,5,-0.49999999999999994,0.39100221895577053
class medians: p90 minus mean baseline,p90_minus_mean_median_degC,connectivity_change_median_percent,5,-0.09999999999999999,0.8728885715695383
