variable,label,filename,patch_summary,n_cool_stable,n_cool_amplifying,median_cool_stable,median_cool_amplifying,raw_difference_amplifying_minus_stable,standardized_median_difference,ci_low,ci_high,higher_in,scale,kruskal_h,kruskal_p,significant_p05
canopy_height_max,max. canopy height,CHM_10m_MAX.tif,median,3130,454,24.143250465393066,27.123000144958496,2.9797496795654297,0.849692469817614,0.694791672993502,0.9963012139639685,cool-amplifying,3.506856639797021,303.6242497893636,5.347920327487181e-68,True
elevation,elevation,DTM_10m_Helsinki.tif,median,3142,454,11.24500036239624,31.128999710083008,19.883999347686768,1.710437907633187,1.6330245279162032,1.791714535947065,cool-amplifying,11.625092766565954,773.8616905578879,2.6008661480387125e-170,True
slope,slope,SLOPE_10m_Helsinki.tif,median,3142,454,3.47965145111084,6.456601619720459,2.976950168609619,0.8521971122848377,0.51385736903919,1.1107932729887073,cool-amplifying,3.493264792493929,146.3865953611239,1.06862759594573e-33,True
tpi_50m,TPI (50 m),TPI_50m_10m_Helsinki.tif,median,3142,454,-0.08340978622436523,-0.2234099730849266,-0.14000018686056137,-0.5489236712524312,-0.6418705696774075,-0.45376756262244405,cool-stable,0.2550449073204206,42.73696320788178,6.261781217457897e-11,True
dist_ocean,distance to sea,OCEAN_DIST_10m_Helsinki.tif,median,3142,454,469.307373046875,3000.0,2530.692626953125,1.7142407637925272,1.6029283153586509,1.823515938217521,cool-amplifying,1476.2760753362952,604.4634313933212,1.7904950736189094e-133,True
dist_inland_water,distance to inland water,WATER_DIST_10m_Helsinki.tif,median,3142,454,259.9032440185547,226.31079864501953,-33.592445373535156,-0.14278418393132458,-0.22668387204314794,-0.041772926935380046,cool-stable,235.26727154663178,16.19589831427254,5.711765479749185e-05,True
building_50m,building fraction (50 m),BLDG_FRAC_MEAN_50m.tif,mean_fraction,3142,454,0.005886399885639548,0.0,-0.005886399885639548,-0.2768216572519657,-0.3121470105985569,-0.2411820811079741,cool-stable,0.021264231794847217,384.5959675247728,1.2426891153462433e-85,True
impervious_50m,impervious fraction (50 m),IMPERV_FRAC_50m_Helsinki.tif,mean_fraction,3142,454,0.07837251201272011,0.0,-0.07837251201272011,-0.5113938793453333,-0.5402047415302128,-0.4645030419473659,cool-stable,0.15325273762182992,372.09159130922694,6.558330044697617e-83,True
